name,version,workspace,observedRuntimeImport,observedPrograms,observedSubpaths,entryTypeEvidence,typeStatusAtObservedImports,autoRefusalsAtObservedImports,parentContexts,typedParentContexts,ownDeclarationFiles,shippedTsFiles,shippedJsFiles,nativeAddonFiles,root,manifestSha256
typescript,5.8.2,False,True,redcode/redcode,typescript,type-surface-resolved-in-at-least-one-context,own-declarations,,4,4,100,0,9,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/typescript@5.8.2/node_modules/typescript,d0f478cc679c121c2925bd99ee054291b913173ca845dc57f75fb9b22aa3708f
typescript,5.9.3,False,True,red-skills/memory | red-skills/memory-mcp | red-skills/benchmark-memory,typescript,type-surface-resolved-in-at-least-one-context,own-declarations,,0,0,102,0,9,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/typescript@5.9.3/node_modules/typescript,822ef7ca6452205657b6288b066481ecf508bfbf43455d715cf7d3ec457561e6
ulid,3.0.1,False,True,redcode/redcode,ulid,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,20,0,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ulid@3.0.1/node_modules/ulid,b3d917c270dec911a0ae36005d1adec5252ea86df214ff52d0d6882c3e5d718f
venice-ai-sdk-provider,2.1.1,False,True,redcode/lildax | redcode/redcode,venice-ai-sdk-provider,type-surface-resolved-in-at-least-one-context,own-declarations,its shipped JS looks minified,2,2,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/venice-ai-sdk-provider@2.1.1+8804bef819b3813f/node_modules/venice-ai-sdk-provider,8f8c543d2278c08bf272a2b90403943960b4b2aba2cd6987470f23a1c0e6a9ba
vite,7.1.4,False,False,redcode/lildax | redcode/redcode,vite,type-surface-resolved-in-at-least-one-context,own-declarations,,4,4,14,0,21,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/vite@7.1.4+1ebaa554339bb03a/node_modules/vite,c3221a9f9f1d59d546ee25726a8a870539637100fd828de3762606adc19fdcc7
vscode-jsonrpc,8.2.1,False,True,redcode/redcode,vscode-jsonrpc/node,type-surface-resolved-in-at-least-one-context,own-declarations,,3,3,22,0,21,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/vscode-jsonrpc@8.2.1/node_modules/vscode-jsonrpc,fcb874d0cc15f35c7b3c3a7de902c64b52c75c594a96ff62eff90a58d482430c
vscode-languageserver-protocol,3.18.2,False,True,red-skills/code-nav,vscode-languageserver-protocol/node | vscode-languageserver-protocol,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,30,0,31,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/vscode-languageserver-protocol@3.18.2/node_modules/vscode-languageserver-protocol,235501a3eee20b8e392ae2a88de7798fc3d190465f7c4a7878a330c23663e0cd
vscode-languageserver-types,3.17.5,False,False,redcode/redcode,vscode-languageserver-types,type-surface-resolved-in-at-least-one-context,own-declarations,,0,0,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/vscode-languageserver-types@3.17.5/node_modules/vscode-languageserver-types,e7a803ab5a3935a834b99bf7abd7b1ca650e44b0fdbf2ac13f0188392d694992
walk-up-path,4.0.0,False,True,redcode/redcode,walk-up-path,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,2,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/walk-up-path@4.0.0/node_modules/walk-up-path,6a64187fa9c6078376375304a297f003a694164087f0b4bdf534c547fca41837
web-tree-sitter,0.25.10,False,True,redcode/redcode,web-tree-sitter,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,1,11,5,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/web-tree-sitter@0.25.10/node_modules/web-tree-sitter,6636903505f3a3739fa8f11d6de7264cf3cc0ae6e0c2e2aec0f079656899cc06
which,6.0.1,False,True,redcode/lildax | redcode/redcode,which,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",4,4,0,0,2,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/which@6.0.1/node_modules/which,a587811d0c730bfc8be6a78adc62c8ca4d55f80a253c88d5d827fd5b3e97703d
ws,8.21.0,False,True,redcode/redcode,ws,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",4,4,0,0,16,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/ws@8.21.0/node_modules/ws,584ce6e7516587ba249dc910b0c04e2753f6b3f451fc3a5bc324f7735bdacc71
xdg-basedir,5.1.0,False,True,redcode/lildax | redcode/redcode,xdg-basedir,type-surface-resolved-in-at-least-one-context,own-declarations,,2,2,1,0,1,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/xdg-basedir@5.1.0/node_modules/xdg-basedir,8c3f1c527f0f5a2918768f56a77e90ede69b27b31f3a8013f016d3a220825c94
yargs,18.0.0,False,True,redcode/redcode,yargs | yargs/helpers,type-surface-resolved-in-at-least-one-context,external-types,"its declared types come from a third-party @types package, not the package itself",1,1,1,0,25,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/yargs@18.0.0/node_modules/yargs,fce65d8f6202a830f1eb543d76a55405b41eb708aca01027e32451cc014ebfb2
zod,3.25.76,False,True,red-skills/dev | red-skills/castle-mcp | red-skills/code-nav | red-skills/memory | red-skills/memory-mcp | red-skills/brain-mcp | red-skills/benchmark-memory,zod,type-surface-resolved-in-at-least-one-context,own-declarations,,6,6,176,241,176,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/zod@3.25.76/node_modules/zod,70eedbe34fd52385a4ae2f3e5759b19682189f0118ea73a6e7c32c677f61668e
zod,4.1.8,False,True,redcode/lildax | redcode/redcode,zod/v4 | zod,type-surface-resolved-in-at-least-one-context,own-declarations,,55,55,194,256,194,0,/home/cyber/Work/reddb.io/redcode/node_modules/.bun/zod@4.1.8/node_modules/zod,67f2058ef56c9209df51e6fe0dd1395eb25af454974de2978ced56008e6fad5e
zod,4.4.3,False,True,red-skills/dev | red-skills/castle-mcp,zod | zod/v3,type-surface-resolved-in-at-least-one-context,own-declarations,,1,1,210,286,210,0,/home/cyber/Work/reddb.io/red-skills/node_modules/.pnpm/zod@4.4.3/node_modules/zod,c630bd10b52dcf71c112a2bf78dbf2734b9db58d62de663b8d86c2ec2c8cda2e
